"Country","Year","Physicians density (per 1000 population)","Nursing and midwifery personnel density (per 1000 population)","Dentistry personnel density (per 1000 population)","Pharmaceutical personnel density (per 1000 population)","Laboratory health workers density (per 1000 population)","Environmental and public health workers density (per 1000 population)","Community and traditional health workers density (per 1000 population)","Other health workers density (per 1000 population)","Health management &amp; support workers density (per 1000 population)"
"Afghanistan"," 2014","0.304","0.36","0.011","0.034","","","","",""
"Afghanistan"," 2013","0.299","","","","","","","0.534",""
"Afghanistan"," 2012","0.253","","","0.028","","","","0.455",""
"Afghanistan"," 2011","0.263","","","0.029","","","","0.425",""
"Afghanistan"," 2010","0.247","","","0.029","","","","0.435",""
"Afghanistan"," 2009","0.222","0.634","","0.031","","","","0.454",""
"Afghanistan"," 2008","0.182","0.519","0.014","0.031","","","","0.457",""
"Afghanistan"," 2007","0.183","0.519","0.012","0.032","","","","",""
"Afghanistan"," 2006","0.168","0.462","0.013","0.033","","","","",""
"Afghanistan"," 2005","","0.612","","0.037","","","","",""
"Afghanistan"," 2001","0.2","0.231","","0.026","","","","",""
"Albania"," 2013","1.286","","","0.847","","","","",""
"Albania"," 2012","1.283","","","","","","","",""
"Albania"," 2011","1.24","","","0.481","","","","",""
"Albania"," 2010","1.254","","","0.456","","","","",""
"Albania"," 2006","","","0.339","","","","","",""
"Albania"," 1994","","5.161","","","","","","",""
"Algeria"," 2007","1.192","1.924","0.321","0.24","0.289","0.071","0.029","3.276","0.028"
"Algeria"," 2005","1.021","","0.271","0.183","","","","2.981","1.851"
"Algeria"," 2002","1.106","2.18","0.299","0.198","0.276","0.079","0.033","0.177","1.885"
"Andorra"," 2015","3.689","4.441","0.908","1.164","","","","3.434",""
"Andorra"," 2009","3.112","3.639","0.597","0.913","","","","",""
"Andorra"," 2003","3.263","","0.588","0.909","","","","",""
"Angola"," 2009","0.144","1.442","","","","","","0.265",""
"Angola"," 2004","0.067","1.069","0.013","0.053","0.117","","","0.015","0.015"
"Angola"," 1997","0.064","0.987","0","0.002","","","","",""
"Antigua and Barbuda"," 1999","0.158","3.064","","","","","","",""
"Antigua and Barbuda"," 1997","","","0.18","","","","","",""
"Argentina"," 2013","3.762","","","","","","","",""
"Argentina"," 2004","3.166","0.482","0.919","0.504","0.507","","","2.054",""
"Argentina"," 2001","3.231","0.443","0.959","0.565","0.528","","","1.906",""
"Argentina"," 1998","3.002","0.8","0.797","0.422","","","","",""
"Argentina"," 1994","","2.141","","","","","","",""
"Argentina"," 1992","2.639","2.05","0.651","0.312","0.223","0.03","","3.164","2.823"
"Armenia"," 2014","2.803","4.994","0.379","0.05","","","","1.708",""
"Armenia"," 2013","2.811","","0.406","0.049","","","","1.75",""
"Armenia"," 2012","2.805","","0.433","0.042","","","","1.762",""
"Armenia"," 2011","2.779","","0.437","0.041","","","","1.759",""
"Armenia"," 2010","2.759","","0.424","0.042","","","","1.715",""
"Australia"," 2013","3.374","12.344","0.562","0.827","","","","0.827",""
"Australia"," 2012","3.285","11.273","0.557","0.746","","","","0.785",""
"Australia"," 2011","3.282","","0.535","0.675","","","","0.754",""
"Australia"," 2010","","","","0.868","","","","0.919",""
"Australia"," 2009","2.885","9.246","0.666","1.001","","","","4.446",""
"Australia"," 2006","2.672","10.78","1.438","0.744","0.508","","0.049","10.326","0.095"
"Australia"," 2001","2.479","9.728","1.103","0.723","0.431","","0.197","1.986","25.29"
"Australia"," 1996","2.513","10.333","1.273","0.672","0.356","","0.039","6.668",""
"Austria"," 2015","5.15","","0.574","","","","","",""
"Austria"," 2014","5.064","8.192","0.575","0.663","","","","0.947",""
"Austria"," 2013","4.984","","0.572","0.697","","","","0.957",""
"Austria"," 2012","4.881","","0.567","0.689","","","","0.952",""
"Austria"," 2011","4.824","","0.563","0.677","","","","0.952",""
"Austria"," 2010","4.779","","0.558","0.665","","","","0.873",""
"Azerbaijan"," 2014","3.402","6.351","0.27","0.197","","","","0.03",""
"Azerbaijan"," 2013","3.415","","0.258","0.205","","","","0.034",""
"Azerbaijan"," 2012","3.454","","0.263","0.178","","","","0.035",""
"Azerbaijan"," 2011","3.407","","0.26","0.18","","","","0.035",""
"Azerbaijan"," 2010","3.636","","0.271","0.201","","","","0.035",""
"Bahamas"," 2008","2.717","3.99","0.33","0.459","0.491","","","0.41",""
"Bahamas"," 1998","1.076","4.561","0.072","","","","","",""
"Bahrain"," 2014","0.939","2.445","0.249","0.161","0.308","","","0.267",""
"Bahrain"," 2013","0.929","2.44","0.245","0.144","0.305","","","0.269",""
"Bahrain"," 2012","0.933","2.418","0.247","0.154","0.315","","","0.259",""
"Bahrain"," 2011","0.925","2.444","0.236","0.148","0.323","","","0.269",""
"Bahrain"," 2010","0.934","2.42","0.233","0.155","0.341","","","0.277",""
"Bahrain"," 2009","0.96","2.498","0.231","0.155","0.318","","","0.268",""
"Bahrain"," 2008","0.989","2.56","0.245","0.167","0.341","","","0.272",""
"Bahrain"," 2007","1.025","","","0.175","","","","",""
"Bahrain"," 2006","1.033","2.769","0.269","0.183","0.383","","","0.234",""
"Bahrain"," 2005","1.07","2.755","0.28","0.189","0.366","","","0.241",""
"Bahrain"," 2004","0.994","","0.423","","0.593","0.364","","1.734","2.551"
"Bahrain"," 2003","1.071","2.889","","0.183","0.393","","","0.118",""
"Bahrain"," 2002","1.092","2.91","","0.185","0.403","","","0.114",""
"Bahrain"," 2001","1.068","3.117","","0.194","0.417","","","0.106",""
"Bahrain"," 2000","1.017","2.971","","0.19","0.408","","","0.106",""
"Bangladesh"," 2012","0.389","0.213","0.045","0.417","0.054","0.009","0.476","0.065","0.324"
"Bangladesh"," 2011","0.374","0.198","0.046","0.402","0.048","0.008","0.393","0.062","0.317"
"Bangladesh"," 2010","0.354","0.186","0.041","0.385","0.041","0.007","","0.055",""
"Bangladesh"," 2009","0.345","0.173","0.037","0.377","0.035","0.006","","0.053",""
"Bangladesh"," 2008","0.333","0.164","0.033","0.317","0.031","0.006","","0.05",""
"Bangladesh"," 2007","0.32","0.158","0.022","","0.028","0.005","","0.049",""
"Bangladesh"," 2006","0.308","0.276","","","","","","",""
"Bangladesh"," 2005","0.3","0.276","0.016","","","0.043","0.147","0.046",""
"Bangladesh"," 2004","0.273","","0.018","","","0.041","0.328","0.042",""
"Bangladesh"," 2003","0.264","0.268","","","","","","",""
"Bangladesh"," 2002","","","0.014","0.056","","0.008","","0.004",""
"Bangladesh"," 2001","0.243","","","","","","","",""
"Barbados"," 2005","1.785","4.784","0.343","0.916","0.051","0.708","","0.42","0.022"
"Barbados"," 2001","1.552","5.837","0.229","0.683","0.262","0.717","","0.484","0.022"
"Barbados"," 2000","1.353","5.863","","","","0.904","","7.853",""
"Barbados"," 1995","1.351","5.133","0.23","0.638","0.298","0.668","","0.125","0.023"
"Belarus"," 2014","4.07","10.903","0.57","0.341","","","","",""
"Belarus"," 2013","3.925","","0.547","0.344","","","","",""
"Belarus"," 2012","3.873","","0.547","0.34","","","","",""
"Belarus"," 2011","3.788","","0.54","0.327","","","","",""
"Belarus"," 2010","3.511","","0.536","0.288","","","","",""
"Belgium"," 2014","2.971","","0.722","1.203","","","","1.857",""
"Belgium"," 2013","2.959","","0.714","1.191","","","","1.722",""
"Belgium"," 2012","2.941","","0.71","1.176","","","","1.692",""
"Belgium"," 2011","2.924","","0.707","1.167","","","","1.665",""
"Belgium"," 2010","2.911","10.078","0.702","1.155","","","","1.724",""
"Belgium"," 2009","","14.116","0.704","","","","","7.921","0.005"
"Belgium"," 2008","","","0.72","","","","","6.892","0.005"
"Belgium"," 2007","","","0.732","","","","","6.274","0.005"
"Belgium"," 2006","2.093","","0.74","","","","","2.414",""
"Belgium"," 2005","2.045","","0.732","","","","","2.377",""
"Belize"," 2009","0.768","1.816","0.038","0.357","","0.191","0.503","0.401",""
"Belize"," 2000","1.015","1.225","0.129","","","","","",""
"Benin"," 2013","0.146","0.604","","","0.098","","","",""
"Benin"," 2012","0.159","0.659","","","0.108","","","",""
"Benin"," 2008","0.06","0.794","0.004","0.002","0.027","0.024","","0.011","0.678"
"Benin"," 2004","0.039","0.731","0.002","0.001","0.06","0.022","0.011","0.016","0.414"
"Bhutan"," 2014","0.258","1.081","0.034","","","","","",""
"Bhutan"," 2012","0.261","0.99","","0.015","0.036","","0.862","1.162","2.43"
"Bhutan"," 2008","0.246","0.958","","0.128","0.014","0.055","","1.377","2.056"
"Bhutan"," 2007","0.211","0.8","0.095","0.128","0.245","0.117","0.684","0.274","1.834"
"Bhutan"," 2004","0.186","0.812","0.091","0.125","0.214","0.112","","0.225","1.887"
"Bolivia (Plurinational State of)"," 2011","0.473","1.006","0.112","0.065","0.079","0.008","","0.173","0.92"
"Bolivia (Plurinational State of)"," 2010","0.444","0.843","0.098","0.057","0.067","0.005","","0.131","0.438"
"Bolivia (Plurinational State of)"," 2007","0.336","0.616","0.063","0.035","0.047","0.004","","0.09","0.319"
"Bolivia (Plurinational State of)"," 2001","1.216","2.129","0.706","0.55","0.064","","0.118","0.586","0.954"
"Bosnia and Herzegovina"," 2014","","5.593","0.216","0.116","","","","0.111",""
"Bosnia and Herzegovina"," 2013","1.886","","0.212","0.112","","","","0.101",""
"Bosnia and Herzegovina"," 2012","1.835","","0.229","0.11","","","","0.098",""
"Bosnia and Herzegovina"," 2011","1.796","","0.211","0.102","","","","0.087",""
"Bosnia and Herzegovina"," 2010","1.738","","0.208","0.097","","","","0.082",""
"Botswana"," 2012","0.384","2.727","","","","","","",""
"Botswana"," 2009","0.345","2.898","0.072","0.182","0.23","0.002","0.083","1.559","3.587"
"Botswana"," 2008","0.338","2.854","0.05","0.121","0.189","0.002","0.229","1.457","3.286"
"Botswana"," 2006","0.312","2.641","","","","","0.485","",""
"Botswana"," 2005","0.25","2.397","","","","","0.494","",""
"Botswana"," 2004","0.389","2.589","0.021","0.181","0.151","0.094","","0.452",""
"Botswana"," 2003","0.291","2.458","","","","","0.479","",""
"Botswana"," 2002","0.3","2.321","","","","","0.482","",""
"Botswana"," 2001","0.289","2.266","","","","","0.466","",""
"Botswana"," 2000","0.287","2.487","","","","","0.731","",""
"Botswana"," 1999","0.297","2.922","","","","","0.454","",""
"Botswana"," 1998","0.253","2.542","","","","","0.442","",""
"Brazil"," 2013","1.852","7.444","","","","","","",""
"Brazil"," 2011","1.821","","","","","","","",""
"Brazil"," 2010","1.787","7.282","1.22","0.719","","","","0.357",""
"Brazil"," 2009","1.791","","1.176","","","","","0.322",""
"Brazil"," 2008","1.755","6.386","1.166","0.534","","","","1.103",""
"Brazil"," 2007","1.707","6.452","1.14","0.54","","","","0.195",""
"Brazil"," 2006","1.678","3.727","1.139","0.546","","","","0.196",""
"Brazil"," 2005","1.645","3.734","1.103","0.529","","","","0.154",""
"Brazil"," 2004","1.569","3.686","0.957","","","","","0.149",""
"Brazil"," 2003","1.46","3.623","0.931","","","","","0.149",""
"Brazil"," 2002","1.406","3.349","0.901","","","","","0.14",""
"Brazil"," 2001","1.38","2.969","0.866","0.374","","","","0.149",""
"Brazil"," 2000","1.127","3.749","1.083","0.292","0.51","0.95","","1.089","4.775"
"Brazil"," 1999","1.367","2.53","0.84","","","","","0.153",""
"Brazil"," 1998","1.27","2.265","0.811","","","","","0.149",""
"Brazil"," 1997","1.286","2.047","0.612","0.334","","","","0.14",""
"Brazil"," 1996","1.25","1.837","","","","","","",""
"Brazil"," 1995","1.219","1.569","","","","","","",""
"Brazil"," 1994","1.189","1.409","","","","","","",""
"Brazil"," 1993","1.16","1.257","","","","","","",""
"Brazil"," 1992","1.132","1.137","","","","","","",""
"Brazil"," 1990","1.076","0.941","","","","","","",""
"Brunei Darussalam"," 2012","1.47","8.195","0.429","0.412","0.72","0.118","","0.449",""
"Brunei Darussalam"," 2011","1.522","7.856","0.238","0.12","0.806","","","0.293",""
"Brunei Darussalam"," 2010","1.431","7.391","0.219","0.109","","","","",""
"Brunei Darussalam"," 2009","1.15","5.079","0.186","0.109","","","","",""
"Brunei Darussalam"," 2008","1.481","5.097","0.215","0.118","","","","",""
"Brunei Darussalam"," 2007","1.05","5.114","0.216","0.112","","","","0.072",""
"Brunei Darussalam"," 2006","1.084","5.351","0.204","0.111","","","","",""
"Brunei Darussalam"," 2005","1.078","5.543","0.202","0.113","","","","",""
"Brunei Darussalam"," 2004","1.302","5.412","0.191","0.115","","","","",""
"Brunei Darussalam"," 2002","1.165","6.174","0.204","0.087","","","","",""
"Brunei Darussalam"," 2000","1.016","3.921","0.145","0.272","","","","",""
"Bulgaria"," 2014","3.999","4.865","0.98","","","","","0.239",""
"Bulgaria"," 2013","3.984","","1.006","","","","","0.216",""
"Bulgaria"," 2012","3.916","","0.924","","","","","0.211",""
"Bulgaria"," 2011","3.859","","0.908","","","","","0.206",""
"Bulgaria"," 2010","3.775","","0.863","","","","","0.201",""
"Bulgaria"," 2001","","","","0.129","","","","",""
"Bulgaria"," 1999","","","","0.168","","","","",""
"Burkina Faso"," 2012","0.047","0.63","0.002","0.021","0.034","0.005","0.127","0.173",""
"Burkina Faso"," 2011","0.038","0.456","","0.014","","","","",""
"Burkina Faso"," 2010","0.046","0.553","0.002","0.022","0.037","","0.126","0.167",""
"Burkina Faso"," 2009","0.045","0.404","","0.011","","","","",""
"Burkina Faso"," 2008","0.032","0.37","0.005","","","","","",""
"Burkina Faso"," 2004","0.054","0.503","0.004","0.026","0.032","0.004","0.099","0.144","0.016"
"Burundi"," 2011","","","","0.018","","","","",""
"Burundi"," 2004","0.026","0.176","0.002","0.01","0.019","","0.086","0.155","0.272"
"Côte d'Ivoire"," 2008","0.143","0.479","0.014","0.021","","0.074","","0.163","0.133"
"Côte d'Ivoire"," 2005","0.094","0.496","0.011","0.007","","","","0.234","0.133"
"Côte d'Ivoire"," 2004","0.117","0.572","0.019","0.057","0.065","0.009","","0.01","0.118"
"Cabo Verde"," 2011","0.309","0.563","0.006","0.01","0.105","0.002","","0.069","0.032"
"Cabo Verde"," 2010","0.341","0.524","0.008","0.008","0.126","","","0.051","0.004"
"Cabo Verde"," 2009","0.267","0.522","0.006","0.008","0.101","","","0.058","0.004"
"Cabo Verde"," 2008","0.287","0.504","0.006","0.006","0.11","","","0.068","0.004"
"Cabo Verde"," 2007","0.283","0.524","0.006","0.006","0.1","","","0.054","0.004"
"Cabo Verde"," 2006","0.253","0.527","0.006","0.008","0.098","","","0.061","0.004"
"Cabo Verde"," 2004","0.493","0.874","0.023","0.092","0.166","0.019","0.139","0.09","0.158"
"Cambodia"," 2013","0.168","0.956","0.02","0.04","0.038","","","0.059","0.08"
"Cambodia"," 2012","0.165","0.92","0.019","0.038","0.037","","","0.061","0.072"
"Cambodia"," 2011","0.226","0.87","0.02","","","","","0.045",""
"Cambodia"," 2010","0.229","0.853","0.017","0.038","","","","0.046",""
"Cambodia"," 2009","0.237","0.851","0.017","0.039","","","","0.037",""
"Cambodia"," 2008","0.244","0.842","0.019","0.041","","","","0.037",""
"Cambodia"," 2004","","","","","","","0.125","",""
"Cambodia"," 2000","0.168","0.912","0.017","0.046","","","","",""
"Cambodia"," 1998","0.147","1.004","0.018","0.053","0.052","","","0.151",""
"Cambodia"," 1996","0.113","1.055","0.017","0.045","0.047","","","0.137",""
"Cameroon"," 2010","0.083","0.52","0.003","0.002","","","","",""
"Cameroon"," 2009","0.067","0.38","0.002","0.001","","","","0.401","0.001"
"Cameroon"," 2007","0.069","0.431","0.002","0.002","","","","0.323","0.001"
"Cameroon"," 2005","0.058","0.37","0.001","0.001","","","","0.138","0.001"
"Cameroon"," 2004","0.177","1.474","0.008","0.04","0.101","0.002","","0.001","0.334"
"Canada"," 2013","","9.501","","0.925","","","","0.543",""
"Canada"," 2012","2.477","9.356","","0.907","","","","0.53",""
"Canada"," 2011","","9.247","","","","","","0.512",""
"Canada"," 2010","2.041","9.335","","","0.542","","","0.495",""
"Canada"," 2009","","10.388","","0.905","1.121","","","0.902",""
"Canada"," 2008","1.961","10.302","1.253","0.87","1.129","0.037","","3.227","0.118"
"Canada"," 2007","","10.132","","0.864","0.601","","","0.871",""
"Canada"," 2006","1.911","10.034","1.175","0.83","1.123","0.042","","3.385","0.099"
"Canada"," 2005","","9.956","","","0.623","","","",""
"Canada"," 2004","1.899","9.916","1.123","0.894","1.108","0.038","","3.23","0.077"
"Canada"," 2003","","","","","0.604","","","",""
"Canada"," 2002","1.899","9.48","1.09","0.842","1.064","0.036","","2.937","0.077"
"Canada"," 2001","1.889","10.022","1.071","0.827","1.059","0.035","","2.832","0.078"
"Canada"," 2000","","","","","0.579","","","",""
"Canada"," 1998","1.863","10.196","1.018","0.768","1.06","","","2.336","0.094"
"Central African Republic"," 2009","0.047","0.252","0.003","0.003","0.009","0.052","0.393","0.066","0.008"
"Central African Republic"," 2008","0.04","0.195","0.003","0.002","0.007","0.02","0.408","0.066","0.008"
"Central African Republic"," 2004","0.083","0.404","0.003","0.004","0.012","0.014","0.053","0.116","0.042"
"Chad"," 2013","0.044","0.309","","0.005","","","","",""
"Chad"," 2012","0.042","0.28","","0.005","","","","",""
"Chad"," 2006","0.035","0.181","","","","","","",""
"Chad"," 2004","0.036","0.257","0.002","0.004","0.033","0.024","0.028","0.016","0.155"
"Chad"," 2000","0.028","0.125","","","","","","",""
"Chad"," 1999","0.029","0.06","","","","","","",""
"Chad"," 1998","0.02","0.056","","","","","","",""
"Chad"," 1997","0.026","0.048","","","","","","",""
"Chile"," 2014","","","","","","","","0.906",""
"Chile"," 2013","","","","","","","","0.732",""
"Chile"," 2012","","","","","","","","0.563",""
"Chile"," 2011","","","","","","","","0.389",""
"Chile"," 2010","","","","","","","","0.339",""
"Chile"," 2009","1.033","0.145","0.001","0.002","0.002","","","0.607",""
"Chile"," 2008","1.043","0.147","0.001","0.002","0.002","","","0.614",""
"Chile"," 2007","1.041","0.141","0.001","0.002","0.002","","","0.501",""
"Chile"," 2006","1.045","0.143","0.001","0.002","0.002","","","0.499",""
"Chile"," 2005","0.986","0.131","0.001","0.002","0.002","","","0.388",""
"Chile"," 2004","0.991","0.131","0.001","0.002","0.002","","","0.385",""
"Chile"," 2003","0.954","0.131","0.001","0.002","0.002","","","0.343",""
"Chile"," 2002","0.9","0.115","0.001","0.002","0.002","","","0.268",""
"Chile"," 1992","1.006","4.542","0.778","0.375","","0.026","0.021","2.969",""
"China"," 2011","1.49","1.655","","0.268","","","0.831","1.819","0.723"
"China"," 2010","1.463","1.519","","0.262","0.171","","0.81","0.215","0.704"
"China"," 2009","1.421","1.383","","0.255","0.165","","0.83","0.793","0.686"
"China"," 2008","","1.258","","0.248","","","0.703","1.65","0.663"
"China"," 2007","","1.175","","0.245","","","0.702","1.6","0.66"
"China"," 2006","","1.081","","0.268","","","0.725","1.59","0.576"
"China"," 2005","","1.028","0.039","0.266","","","0.698","1.555","0.564"
"China"," 2004","","1.002","","0.272","","","0.676","1.531","0.578"
"China"," 2003","","0.975","","","","","0.668","","0.347"
"China"," 2002","1.133","0.965","","0.277","","","","1.428","0.61"
"China"," 2000","1.255","0.992","","0.324","","","1.033","1.625","0.738"
"China"," 1999","1.23","0.98","","0.33","","","1.043","1.61","0.757"
"China"," 1998","1.199","0.966","","0.336","","","1.052","1.584","0.766"
"China"," 1997","1.2","0.955","","0.342","","","1.051","1.583","0.785"
"China"," 1996","1.185","0.934","","0.341","","","1.057","1.559","0.789"
"China"," 1995","1.179","0.912","","0.339","","","1.078","1.651","0.807"
"China"," 1990","1.123","0.84","","0.35","","","1.061","1.519","0.795"
"Colombia"," 2010","1.568","0.656","0.977","","","","","",""
"Colombia"," 2009","1.544","0.644","0.954","","","","","",""
"Colombia"," 2008","1.521","0.632","0.931","","","","","",""
"Colombia"," 2007","1.497","0.62","0.908","","","","","",""
